Sabinov;Presovsky;352;268;211;3211;347;477;17;3967;289;372;20;3838;240;297;113;3576;169;268;171;3318;80;229;154;3032;69;206;157;2551;68;225;130;2381;102;429;165;3005;115;460;179;3766;135;461;171;3841;127;383;175;4440;196;477;108;4577;217;439;106;4178;179;338;97;3645;141;316;104;3266
Snina;Presovsky;344;250;62;1800;328;302;30;2219;248;276;26;1955;213;287;29;1901;192;196;21;1653;148;165;15;1247;107;161;30;1135;103;212;20;1017;141;301;27;1644;169;328;22;2395;144;324;32;2327;126;352;25;2507;150;296;18;2516;164;288;12;2355;162;224;11;2032;139;187;13;1710
Stara Lubovna;Presovsky;218;218;131;1758;254;272;154;1930;184;239;91;1718;134;209;80;1502;116;206;73;1455;62;165;81;1233;53;139;67;1131;64;197;68;1063;82;385;89;1378;119;437;73;1797;148;448;47;1492;125;494;83;1936;174;438;58;1943;201;402;73;1838;168;268;57;1588;136;245;48;1274
Stropkov;Presovsky;238;107;47;929;250;133;8;933;168;66;7;717;193;128;11;812;161;95;13;815;121;92;16;719;109;75;16;766;104;95;21;779;133;158;23;984;137;167;21;1377;153;183;25;1212;130;198;13;1382;136;184;10;1383;160;182;9;1370;139;115;9;1145;136;109;7;1050
Svidnik;Presovsky;293;180;56;1423;310;229;41;1679;232;141;17;1430;174;183;32;1528;152;164;39;1467;105;142;45;1277;100;130;31;1168;95;173;22;1138;146;264;40;1603;147;288;25;2200;205;305;25;2024;183;278;26;2367;206;279;22;2573;190;288;18;2566;196;216;12;2227;184;202;7;2158
Vranov nad Toplou;Presovsky;638;462;377;4324;667;617;292;5016;468;460;76;4714;327;437;148;4098;343;445;158;3871;276;373;163;3637;250;349;166;3240;215;416;151;3292;278;594;172;4434;321;676;184;5432;420;695;188;5419;334;612;241;6292;396;641;217;6450;421;564;196;6147;395;460;173;5500;314;410;152;4941
Gelnica;Kosicky;299;143;130;1648;332;192;116;2118;289;167;92;2097;218;131;82;2002;174;124;78;1883;116;106;72;1643;92;97;73;1370;89;121;80;1324;125;177;77;1649;124;182;68;1963;126;189;91;1845;118;208;91;2027;95;186;47;2118;96;169;39;2024;107;156;39;1815;78;100;13;1531
Kosice I;Kosicky;257;230;81;2641;288;341;65;2509;168;267;36;1820;149;225;22;1733;128;191;19;1447;98;166;16;1109;96;138;12;855;86;160;5;698;91;295;13;874;94;333;4;1075;96;360;4;1227;91;446;7;1522;69;371;3;1685;82;316;5;1644;87;209;9;1496;82;168;4;1257
Kosice II;Kosicky;269;386;157;2970;262;604;31;2792;198;482;20;2392;188;404;40;2133;180;388;23;1865;147;262;20;1594;128;208;29;1245;93;220;27;1078;84;359;19;1275;87;393;9;1536;87;374;16;1604;95;429;14;1950;93;353;9;1681;113;315;20;1689;95;201;4;1650;96;187;3;1461
Kosice III;Kosicky;179;209;26;1433;142;342;8;1301;113;265;2;1035;92;182;7;952;90;146;5;845;86;100;3;649;75;70;2;511;42;77;1;368;71;126;7;500;64;124;6;653;71;124;1;718;52;133;2;876;44;108;6;731;50;96;1;696;41;78;2;538;37;48;1;440
Kosice IV;Kosicky;317;259;49;2008;315;362;50;2230;222;288;26;1894;186;190;13;1592;162;148;7;1283;121;101;10;954;120;81;8;753;95;119;7;618;113;181;7;833;116;234;7;1056;119;249;11;1109;118;260;3;1381;119;230;3;1192;128;241;3;1196;98;147;2;1000;68;100;3;788
Kosice - okolie;Kosicky;719;589;498;7910;711;915;229;8634;631;729;124;8653;429;664;186;7993;373;675;232;7291;279;476;239;6410;215;370;261;5378;178;463;217;4814;212;711;218;5827;182;784;224;6424;180;789;239;6714;140;854;196;7449;176;697;50;7728;204;672;81;7398;236;517;85;6686;183;477;75;5685
Michalovce;Kosicky;1026;578;449;8307;1064;958;90;8886;951;745;31;8450;728;599;114;7522;545;603;195;6587;430;481;196;5437;398;406;206;4893;308;484;172;4685;340;562;211;5681;411;639;195;6374;468;671;160;6512;368;703;132;6816;458;615;67;6433;483;499;46;6051;420;466;47;5451;343;378;47;4960
Roznava;Kosicky;445;296;222;4770;457;494;124;5814;343;431;55;5776;215;367;82;5590;171;356;87;5244;167;286;75;4429;124;234;69;4078;151;312;62;3906;213;455;70;4852;191;539;78;5839;173;490;74;6100;137;470;68;6340;112;431;33;6114;136;431;33;5996;135;324;45;5304;144;258;44;4711
Sobrance;Kosicky;296;136;48;1564;307;189;41;1768;279;146;18;2007;184;172;45;1958;106;183;45;1790;78;158;34;1488;69;137;43;1243;57;125;42;1125;43;170;43;1291;42;192;40;1453;56;176;24;1377;49;202;26;1461;61;184;15;1666;86;153;5;1600;77;158;5;1416;77;101;6;1247
Spisska Nova Ves;Kosicky;811;401;466;5725;784;650;200;5940;630;491;64;5388;588;444;104;5041;388;414;144;4581;236;253;122;3857;187;203;112;3170;155;324;86;2922;206;518;135;3493;254;552;213;4718;323;644;230;5251;288;611;186;5457;255;540;68;5000;259;518;84;4778;311;436;56;4263;245;319;46;3466
Trebisov;Kosicky;1004;571;417;7609;944;1007;306;9228;712;762;228;9027;388;802;165;8659;278;666;154;8286;203;569;140;6892;179;532;117;5825;187;575;99;4856;215;765;122;6940;344;836;150;8191;422;842;141;8696;329;722;130;9249;329;695;71;8891;361;571;39;8440;380;479;47;7548;278;428;43;6623
